=== MoonBit Seq benchmark ===
sequence length: 100000 chars
iterations (ops): 20

complement: 9472.361 us total, 473.61805000000004 us/iter (20 iters)
complement_rna: 8439.548999999999 us total, 421.97745 us/iter (20 iters)
reverse_complement: 11335.063 us total, 566.75315 us/iter (20 iters)
reverse: 7993.655000000001 us total, 399.68275000000006 us/iter (20 iters)
transcribe: 8998.376 us total, 449.91880000000003 us/iter (20 iters)
back_transcribe: 9042.507 us total, 452.12534999999997 us/iter (20 iters)
translate: 12021.252 us total, 601.0626 us/iter (20 iters)
upper: 9651.504 us total, 482.57520000000005 us/iter (20 iters)
lower: 19963.485 us total, 998.17425 us/iter (20 iters)
count AAA: 89293.583 us total, 446.467915 us/iter (200 iters)
count_overlap AAA: 87684.11399999999 us total, 438.42056999999994 us/iter (200 iters)
find ACGT: 133.931 us total, 0.6696550000000001 us/iter (200 iters)
rfind ACGT: 156.93200000000002 us total, 0.7846600000000001 us/iter (200 iters)
startswith ATG: 55.811 us total, 0.279055 us/iter (200 iters)
endswith TAA: 71.041 us total, 0.355205 us/iter (200 iters)
contains GGG: 44287.113000000005 us total, 221.43556500000003 us/iter (200 iters)
slice 0..1000: 3344.919 us total, 16.724595 us/iter (200 iters)
replace A->N: 29527.699 us total, 1476.3849500000001 us/iter (20 iters)

=== MoonBit SeqIO benchmark ===

parse_fasta (100x1000): 28981.642 us total, 1449.0821 us/iter (20 iters)
write_fasta (100x1000): 33333.133 us total, 1666.6566500000001 us/iter (20 iters)
parse_fastq (100x1000): 47503.27 us total, 2375.1634999999997 us/iter (20 iters)
write_fastq (100x1000): 42931.657 us total, 2146.58285 us/iter (20 iters)
seqio_parse fasta: 20609.003 us total, 1030.4501500000001 us/iter (20 iters)
seqio_parse fastq: 41435.929000000004 us total, 2071.7964500000003 us/iter (20 iters)
seqio_to_dict: 1002.2819999999999 us total, 50.11409999999999 us/iter (20 iters)

=== MoonBit SeqFeature benchmark ===

Position::new_exact: 25.101 us total, 0.125505 us/iter (200 iters)
FeatureLocation::new_safe: 74.751 us total, 0.373755 us/iter (200 iters)
SeqFeature::new: 69.881 us total, 0.349405 us/iter (200 iters)
SeqFeature::new with location: 133.091 us total, 0.665455 us/iter (200 iters)
SeqFeature::add_qualifier: 516.526 us total, 2.58263 us/iter (200 iters)
CompoundLocation::new: 89.601 us total, 0.448005 us/iter (200 iters)

=== MoonBit SeqUtils benchmark ===

crc32: 19131.086 us total, 95.65543 us/iter (200 iters)
gcg: 16094.199999999999 us total, 80.47099999999999 us/iter (200 iters)
seguid: 154774.505 us total, 7738.72525 us/iter (20 iters)
gc: 18522.238999999998 us total, 92.611195 us/iter (200 iters)
ProteinAnalysis::count_amino_acids: 5169.521 us total, 25.847604999999998 us/iter (200 iters)
